b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
1.0,0.004470675331791458,0.009763281167205316,0.2930798818846792,0.033329331778707734,0.0,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.1400000000000001,0.012476409168912241,0.017848399989647514,0.3966719608680661,0.05653629992392492,0.0,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.2800000000000002,0.021849665729822054,0.021465584923487747,0.445476817385185,0.07283047506351802,0.0,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.4200000000000004,0.03359917851407409,0.025426416057438218,0.488531571435464,0.09381306475576207,0.0,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.5600000000000005,0.054050870914645985,0.02937010350066,0.5246823548981079,0.12245113615218953,0.0,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.7000000000000006,0.7165958653705502,0.02169915986139385,0.877412866650869,0.7562091107729377,0.696858,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.8400000000000007,0.8927614865916721,0.019832769484365596,0.9545110047870268,0.9244874406575794,0.925391,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
1.9800000000000009,0.8996175713086881,0.01980381013883968,0.9622494941776008,0.9313001774861078,0.918216,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.120000000000001,0.890534602624409,0.019854887466142425,0.9602167151177926,0.9229611514558117,0.91883,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.260000000000001,0.927600372799792,0.013911610798682587,0.9774354821731458,0.9525455122954037,0.915214,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.4000000000000012,0.9499474826783315,0.003725840300671579,0.9899264078609202,0.9639572268461148,0.905009,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.5400000000000014,0.9563724913622822,0.002262463053977085,0.9936795311630616,0.9687308432139691,0.881478,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.6800000000000015,0.9550411689701357,0.004881672587855465,0.9931202060220492,0.9700078389535877,0.860741,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.8200000000000016,0.954520554530362,0.004717431323703505,0.9917304973365824,0.9693633583656871,0.844785,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
2.9600000000000017,0.954940825419603,0.004448204723533344,0.9932652597248602,0.9695148483207905,0.783182,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
3.100000000000002,0.9577583841808661,0.005971168844140047,0.9914391125975159,0.9737809635540315,0.845223,S_12_EqualSay_G1_Default,S_12,EqualSay_G1_Default
