b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
1.0,0.019915029663481406,0.042916640610991735,0.3410358571594349,0.10493000706954232,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.1400000000000001,0.03404065580556983,0.03585636491800304,0.3536176869675635,0.11259079947245751,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.04242733445084147,0.036901275685902,0.4073652400935263,0.1204825621776156,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.052013948383688065,0.03576062775177331,0.4108150755079413,0.12975153552062363,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.07861922340592988,0.0371222562773176,0.44841424920509143,0.15869993079303996,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.14740311031212763,0.03206969300596317,0.494058279105879,0.2198149282778066,0.009634,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6396120932187771,0.015554596519094218,0.7835944832870374,0.6726302895061105,0.182596,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7880863304761583,0.010973663771153438,0.8798347679575717,0.8105484676810635,0.069834,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.7729335030197326,0.01152287644606347,0.871837052148575,0.796510938783778,0.26614,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.260000000000001,0.8594313668131753,0.008816171424479468,0.9200315867490668,0.8761548584249449,0.258504,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4000000000000012,0.8959670410240061,0.006954669066838858,0.9407167970007125,0.9091243267758096,0.289072,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9668440543922113,0.002593209204596586,0.9823349632608017,0.9727088918653135,0.243704,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.6800000000000015,0.9638248749906795,0.004229016853605695,0.9802245281986344,0.9702238905063794,0.339,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.9643916680076248,0.00223943424343183,0.9912417453140665,0.9682910641073681,0.470402,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9764268136306179,0.002677017872805183,0.9855206572175879,0.9810435108921002,0.332236,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9800688392280231,0.003543585524606732,0.9885712607411887,0.9858928385304702,0.32681,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
