b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
1.0,0.009958985198596502,0.01403642684331288,0.49404878024742593,0.06459951509823592,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.1400000000000001,0.012094663628905983,0.01542045551972076,0.5012775045371879,0.06660181011096651,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.2800000000000002,0.01586689343179638,0.013081548462543464,0.5149067910377413,0.0649958266507239,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.4200000000000004,0.023330793194032452,0.01014119775179313,0.5499783162496136,0.07133011097399114,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.5600000000000005,0.029477671661129457,0.008504767582178519,0.5515666026302046,0.07346459172936332,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.7000000000000006,0.03727052782186365,0.008103110615010872,0.5421838721467228,0.08048577543677202,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.8400000000000007,0.05665369766168362,0.007783094765789519,0.583252390439834,0.09958976559091647,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.9800000000000009,0.08525795642624089,0.007027846700717508,0.5971999320155565,0.12477894760806384,0.0,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.120000000000001,0.1928913204332572,0.0065886849325225184,0.6412647677137151,0.22899111387357146,0.065826,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.260000000000001,0.48602569502839343,0.00425415011642135,0.7645989723474707,0.5091053247372863,0.231718,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000012,0.7803171684468065,0.002174640938411052,0.8987891838502649,0.7907307624637094,0.444194,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.5400000000000014,0.9540680325747487,0.0012620343605857307,0.9786285843662427,0.9578708811307721,0.537178,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.6800000000000015,0.9840598936023915,0.0009530544748138573,0.9941718096444336,0.9863152313011622,0.557272,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.8200000000000016,0.994897834341342,0.0008930991636976575,0.9982925096836347,0.9968003915520129,0.554556,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.9600000000000017,0.9937228181768863,0.0009025777632073335,0.9981201558197771,0.9956328619786331,0.548122,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
3.100000000000002,0.9948446008410178,0.001002546169373413,0.998496931682125,0.9968476410197011,0.497046,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
