b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
1.0,0.02055204597455484,0.03738557743505053,0.3465457288728163,0.10030833698771709,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.1400000000000001,0.03131454713222894,0.03563774123432055,0.3649170669406635,0.11297053339809841,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.045305161904696675,0.03280011280564329,0.39886840421972336,0.12218193500670928,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.05136302724008381,0.036142493078777364,0.40891957310885824,0.1317617202330195,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.07451241194443665,0.032703935359015356,0.4492648911248714,0.15116731551410348,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.1791459140225053,0.03352076393895754,0.5121487779439067,0.25238275894191253,0.023518,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6304982961385076,0.017643261045761232,0.7742337112683192,0.6686560864308825,0.10316,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.7153758172663608,0.013897012287910817,0.8376331537928332,0.7446653237719679,0.146408,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.7942794728508124,0.011679483688778637,0.8884609112628625,0.8164568743046298,0.293886,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.260000000000001,0.881632198546783,0.009000887678487062,0.9299653124252089,0.8978737679078224,0.380318,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4000000000000012,0.9466436610173589,0.005166020214708618,0.972262299351495,0.956204408011528,0.348016,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.9575729125564661,0.003229846677528793,0.9787763797386806,0.9639778694622381,0.339106,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.6800000000000015,0.9766372018833279,0.0030576266969765723,0.9865946504563475,0.9819311610740743,0.316284,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.9680747069886008,0.0038304060503922574,0.9808661154282937,0.9742194975648775,0.303844,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9761103942665984,0.0030139204356283917,0.9862213464963023,0.981288492426212,0.23261,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9817878399238079,0.0028194315036120013,0.9895115838673492,0.9864998900821974,0.41614,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
