b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,N,strat,strat_space,transition,eps,beta
1.8,0.1272331412930992,0.07357927721701932,0.4483231733560351,0.2862964597397696,0.012682,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12664060543771524,0.07216900143207985,0.44888121406933007,0.2853576727746581,0.012694,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12694096749646286,0.071473119595598,0.44959912166775184,0.2829883231648776,0.014066,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1299130238713634,0.07315922257923722,0.4528401726732878,0.2883372555309952,0.01379,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.12660902688504944,0.07341646289538539,0.4496847910695673,0.28572351298534027,0.01313,4,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
