b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,N,strat,strat_space,transition,eps,beta
1.8,0.16843945304897764,0.04224222127258478,0.5087698622051818,0.2748459373391566,0.041836,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1684570654968959,0.040385435640449927,0.5096217156826389,0.27425512116413064,0.04001,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.1713130570928741,0.03887996276068321,0.5106709420011988,0.2736126823882456,0.044022,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16709476791208275,0.040106261285172834,0.5062662636918989,0.2712790927441246,0.03804,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.16282621298438674,0.04128747611453819,0.5063111997765866,0.2686550232843056,0.0419,16,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
