b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,N,strat,strat_space,transition,eps,beta
1.8,0.11620570285177877,0.10812718750116974,0.41860356292867235,0.32314787868799116,0.008604,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11550920589884184,0.10809317988556588,0.4161732161469508,0.3233416685264734,0.007986,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11580478186950816,0.10764800410146187,0.4189222893111285,0.32246466498173765,0.008846,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11608722566017277,0.10908743033482239,0.4179075783978776,0.324518654691549,0.008648,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
1.8,0.11559635898987639,0.10905672372717867,0.4177683904861797,0.323983407028829,0.007936,2,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,0.001,2.0
