b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
2.68,0.921811548,0.006014027,0.962342653,0.938022122,0.789083,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.82,0.933221264,0.012911098,0.957588778,0.95649209,0.760251,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.96,0.936330012,0.009524267,0.960326645,0.956006792,0.723314,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.1,0.932882863,0.007994275,0.965122898,0.951260515,0.800959,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1,0.00909011,0.015144999,0.419823357,0.049084329,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.016235987,0.017490004,0.484251711,0.061347476,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.28,0.020974281,0.018096477,0.502632932,0.065955586,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.42,0.028015379,0.019493538,0.532986442,0.075449223,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.56,0.032512123,0.018571848,0.580762978,0.078707991,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7,0.148128569,0.020516413,0.613665292,0.195479015,0.035869,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.84,0.661997272,0.032463034,0.833003124,0.710475193,0.517262,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.98,0.6482193,0.031816297,0.836168067,0.696036256,0.378702,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.12,0.663466929,0.029716826,0.845610214,0.709892206,0.413611,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.26,0.886043122,0.008924642,0.941788072,0.905936994,0.625393,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4,0.932465331,0.007161277,0.961682717,0.949825103,0.665322,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.54,0.937686779,0.001570549,0.962882817,0.94926863,0.506221,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.68,0.921811548,0.006014027,0.962342653,0.938022122,0.789083,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.82,0.933221264,0.012911098,0.957588778,0.95649209,0.760251,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.96,0.936330012,0.009524267,0.960326645,0.956006792,0.723314,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.1,0.932882863,0.007994275,0.965122898,0.951260515,0.800959,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1,0.00909011,0.015144999,0.419823357,0.049084329,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.016235987,0.017490004,0.484251711,0.061347476,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.28,0.020974281,0.018096477,0.502632932,0.065955586,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.42,0.028015379,0.019493538,0.532986442,0.075449223,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.56,0.032512123,0.018571848,0.580762978,0.078707991,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7,0.148128569,0.020516413,0.613665292,0.195479015,0.035869,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.84,0.661997272,0.032463034,0.833003124,0.710475193,0.517262,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.98,0.6482193,0.031816297,0.836168067,0.696036256,0.378702,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.12,0.663466929,0.029716826,0.845610214,0.709892206,0.413611,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.26,0.886043122,0.008924642,0.941788072,0.905936994,0.625393,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4,0.932465331,0.007161277,0.961682717,0.949825103,0.665322,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.54,0.937686779,0.001570549,0.962882817,0.94926863,0.506221,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.68,0.921811548,0.006014027,0.962342653,0.938022122,0.789083,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.82,0.933221264,0.012911098,0.957588778,0.95649209,0.760251,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.96,0.936330012,0.009524267,0.960326645,0.956006792,0.723314,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.1,0.932882863,0.007994275,0.965122898,0.951260515,0.800959,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1,0.00909011,0.015144999,0.419823357,0.049084329,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.016235987,0.017490004,0.484251711,0.061347476,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.28,0.020974281,0.018096477,0.502632932,0.065955586,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.42,0.028015379,0.019493538,0.532986442,0.075449223,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.56,0.032512123,0.018571848,0.580762978,0.078707991,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7,0.148128569,0.020516413,0.613665292,0.195479015,0.035869,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
